"","tot_APSD","cu_APSD","narc_APSD","imp_APSD","ag.v_SHRP","bul_SHRP","ag.c_SHRP","hos_SHRP","ag.p_SHRP","tot_ARI","att_CON","hyp.imp_CON","learn_CON","exec_CON","def_CON","peer_CON","tot_CON","adhd.att_CON","adhd.hyp_CON","cond_CON","odd_CON","cont_DCD","fine_DCD","coord_DCD","tot_DCD","tot_SCQ","soc_SCQ","com_SCQ","rep_SCQ","emo_SDQ","cond_SDQ","hyp.imp_SDQ","peer_SDQ","soc_SDQ","tot_SDQ","tot_SRS","awr_SRS","cog_SRS","com_SRS","mot_SRS","man_SRS","asd_SRS","ax.dep_CBCL","wt.dep_CBCL","som_CBCL","soc_CBCL","tht_CBCL","att_CBCL","rule_CBCL","ag_CBCL","int_CBCL","ext_CBCL","tot_CBCL"
"att_CON",0.464361816002625,0.350295011569327,0.309092016853862,0.46594379982197,0.252917206081755,0.182938142907235,0.307410600057958,0.25219590007261,0.0779280586456416,0.334286825863487,1,0.543114615232289,0.635879092766072,0.761378556088719,0.281543228250307,0.333763746503728,0.720612594990941,0.890921228415471,0.480222500932915,0.374760502192874,0.302370554879988,0.31517004923729,0.284970113433202,0.295508177808246,0.338672802319354,0.222390297630127,0.253757429856074,0.0763371607705271,0.167276704262834,0.175879552314622,0.465190236833319,0.738770365481571,0.25516063962651,0.344545202850439,0.580087588776653,0.499494818640715,0.318809160158515,0.470534605492378,0.481982224040844,0.261326134070113,0.532832906384196,0.46821989944367,0.29363209811784,0.343607039217154,0.166073457984951,0.357574092264016,0.402865139603064,0.768839304976204,0.343620502596668,0.358571095846305,0.320319496909514,0.390940208219136,0.516280067057094
"hyp.imp_CON",0.364364216681717,0.164295671648381,0.293860680760968,0.422314103738759,0.33829260384628,0.336669902416929,0.405166468735035,0.3393974408576,0.233112940742489,0.407204010630742,0.543114615232289,1,0.31705630288389,0.285082262785718,0.427278397285422,0.44776000238503,0.857917405142602,0.435305642457492,0.971783035552883,0.399402310068742,0.439597297513322,0.369166558981167,0.268131609090547,0.331854492482153,0.37126120234352,0.242619044137153,0.104940027387747,0.174824211269939,0.374319777388471,0.260435538620698,0.492337977932667,0.774932308839712,0.258878943321895,0.191021661695989,0.637092792951725,0.464029480244577,0.363578936370817,0.478592114651501,0.407605127187693,0.197730138825341,0.529250068701493,0.42582704061026,0.467686902748513,0.18010056708402,0.150181675267249,0.5756412989692,0.57869235698361,0.570892301218095,0.41240322571081,0.549574339978984,0.348623674309659,0.555716514902979,0.628891730533792
"learn_CON",0.197171906977716,0.0767545279117832,0.193004517513327,0.243859140470827,0.0689069971844499,0.137630773844525,0.0828955268711779,0.222818044607571,0.105078552669035,0.22462334825311,0.635879092766072,0.31705630288389,1,0.538666237238137,0.159888194348788,0.187662274240452,0.410667588009227,0.615831546472049,0.288129688964782,0.319048543445393,0.143693076542806,0.0872172593001902,0.187997793959105,0.160544165417421,0.156673532258329,0.205398518596475,0.195256017906154,0.151273579616514,0.112540256277442,0.259998378003587,0.132955824891997,0.412391908419486,-0.00074370808888629,0.106922925162169,0.301017836189242,0.362221024314635,0.21230135183894,0.42608125838389,0.333999846030672,0.208641933465643,0.314165931325149,0.358834259092765,0.22997267605903,0.221329719562252,0.0461993605161954,0.206308629698007,0.204284148178749,0.471775923183727,0.0262229481623747,0.174525344404711,0.203464063439425,0.136626591602514,0.262545051558433
"exec_CON",0.43373181321108,0.37450340634393,0.160274383156613,0.460996585192974,0.227020606693534,0.173667420474939,0.240771099561163,0.19782399779684,-0.00219222734693405,0.238823974996596,0.761378556088719,0.285082262785718,0.538666237238137,1,0.227206510043121,0.350055975026135,0.518940788318164,0.864784266538278,0.227128174303413,0.32114134752348,0.196810866118613,0.148937956462096,0.189488090653445,0.19703453987442,0.198362536132228,0.12184854895035,0.168560324750401,0.0260260160348189,0.0487896299478956,0.115937882417835,0.41293216709715,0.652911758841192,0.28403633909872,0.168201428352737,0.518248153061154,0.354303401933469,0.143432089495072,0.362108741522618,0.327311876527768,0.187336122666826,0.413741287067817,0.32255969924966,0.162028212533164,0.397694368002107,0.0916617605865889,0.232766868692215,0.373753950519111,0.676184827070834,0.395293713035459,0.222339634248218,0.243547120128877,0.311738640250475,0.418744709045311
"def_CON",0.539351017692992,0.38418320419484,0.407123662715653,0.457853533816463,0.759511858109935,0.723705251907032,0.691491520138554,0.745288782484132,0.488919811491247,0.648681645971047,0.281543228250307,0.427278397285422,0.159888194348788,0.227206510043121,1,0.462760075102629,0.599774333057689,0.295030755772075,0.429963593882561,0.818101512847673,0.880917217484749,0.215319442587288,0.194514374813017,0.289358641974206,0.264188963206222,0.148626813850935,0.114858815016793,0.118747822366093,0.111202116103651,0.292925295223147,0.62409742641648,0.269157191535056,0.233922452403867,0.546273951770403,0.484814885406861,0.476844987032126,0.332665147889357,0.456075407929987,0.493864590266375,0.299395267426199,0.380005584494074,0.481355059591971,0.454039270781184,0.417161988466354,0.333343299380995,0.581746022665369,0.517152759462435,0.321450696474552,0.694697575306577,0.866016861850066,0.487943229434009,0.892753038254459,0.738434458827147
"peer_CON",0.281319606436583,0.264451257239921,0.182198007063911,0.218398965233091,0.447687146892771,0.541848890455612,0.480547734945136,0.473528455118647,0.405399249555305,0.510317007153015,0.333763746503728,0.44776000238503,0.187662274240452,0.350055975026135,0.462760075102629,1,0.49297660569429,0.384637687311269,0.442122161469018,0.506609781342995,0.392776492516726,0.456553431429155,0.307349362424797,0.455853595812469,0.468806050310553,0.473167062713286,0.453036390849547,0.323878291256758,0.323044203900013,0.393634839030503,0.45219292280055,0.396970958408396,0.730923113822905,0.366872514778509,0.702282658086657,0.665609329393912,0.43939417612593,0.599324577882693,0.671643493050129,0.419431408363019,0.612229642518696,0.650057288442475,0.392830210942548,0.424895580152678,0.331952097792889,0.676247350408742,0.635703212773609,0.415969925071988,0.361653061208164,0.535883769274361,0.459348373686502,0.526473458112886,0.653226631502563
"tot_CON",0.408233622782596,0.246295020805335,0.280826575877994,0.44591241154645,0.523338596404985,0.47808750729984,0.586499549507436,0.530460107781274,0.302060975323638,0.586412276186544,0.720612594990941,0.857917405142602,0.410667588009227,0.518940788318164,0.599774333057689,0.49297660569429,1,0.664865344661897,0.805772117288134,0.601310609917176,0.612942527737673,0.416802280775928,0.332382869251611,0.398559209544256,0.437204021424621,0.221142075581684,0.137195814239967,0.0785309916692299,0.348881324496972,0.261488533831859,0.645438733469737,0.756954478745409,0.264541443859103,0.393574066053491,0.676834540841563,0.533651946906751,0.393668611977639,0.546426223768063,0.508322944334111,0.204726757845945,0.578919278082342,0.497660955320439,0.487157070250353,0.322590430568611,0.230003522550398,0.634733617975076,0.565026776666074,0.671549219365574,0.5272623930601,0.677860706505095,0.434597237878766,0.692510197110717,0.730176573412494
"adhd.att_CON",0.406611468008119,0.292182040751964,0.212618743993789,0.459786143648256,0.306825070449046,0.232166861057315,0.331091695093171,0.32617052432587,0.0299698188131286,0.340714818436076,0.890921228415471,0.435305642457492,0.615831546472049,0.864784266538278,0.295030755772075,0.384637687311269,0.664865344661897,1,0.372530709656372,0.415314003899959,0.306566762582543,0.232054081500495,0.317887983630142,0.242711982946932,0.291833026396122,0.212018285163178,0.233168878573013,0.0641449508354142,0.179554855291924,0.195090474853204,0.482478510113548,0.678946792167972,0.312767111225591,0.320643778610005,0.590369516598748,0.480564442104729,0.284764990388029,0.478042836559,0.474386065894606,0.214190227977376,0.51453857060709,0.449967447203016,0.278853583138104,0.397941945201601,0.206755881641127,0.34884014333721,0.383656553275664,0.753449275556178,0.386459254745006,0.333302562540515,0.345941314663331,0.388901403686838,0.519404140680237
"adhd.hyp_CON",0.346136173307324,0.205792975361667,0.23906215195837,0.393146387903178,0.291722981841673,0.312987412791335,0.376759160708994,0.319850938660535,0.231434031764885,0.363149347529163,0.480222500932915,0.971783035552883,0.288129688964782,0.227128174303413,0.429963593882561,0.442122161469018,0.805772117288134,0.372530709656372,1,0.392733136905623,0.42382998868499,0.38859819019454,0.297213354003468,0.366038615610488,0.401658845296452,0.225046069746197,0.0680315781549249,0.181001909664948,0.381712542712874,0.236037296370756,0.450156674313789,0.713745676368918,0.233950202136339,0.174713339710794,0.58269203547669,0.411888504755279,0.357554249630573,0.422708889343597,0.359960088336788,0.143201379374565,0.488531554039089,0.372970283234021,0.460202874782962,0.137725530368543,0.0761804627633782,0.581752046022622,0.529004302047316,0.510451137348996,0.389892615988442,0.549106951964452,0.302988447367162,0.546813112173692,0.588970485557529
"cond_CON",0.348869636984562,0.272165919470507,0.209626486494716,0.301658757660261,0.656775220174227,0.708934473711017,0.723303985169088,0.688514587452401,0.52552091672871,0.52898308308942,0.374760502192874,0.399402310068742,0.319048543445393,0.32114134752348,0.818101512847673,0.506609781342995,0.601310609917176,0.415314003899959,0.392733136905623,1,0.67109719247389,0.284260876918905,0.291619548585651,0.292089770942008,0.325637455571884,0.230345169464039,0.243933262249258,0.0513794698156771,0.207828904162958,0.329809241130979,0.620813683977233,0.317730053679725,0.393528568965969,0.459172168728061,0.574361245154311,0.513588740518914,0.315948974662232,0.557891078841517,0.52325713334995,0.278515065946121,0.417688936689789,0.516202247109773,0.451866127285132,0.39316103628079,0.292962669625978,0.608156012530166,0.486854274285878,0.351236786654978,0.565391211460366,0.706666525240415,0.463712937066307,0.727920297295143,0.658320266412248
