"","tot_APSD","cu_APSD","narc_APSD","imp_APSD","ag.v_SHRP","bul_SHRP","ag.c_SHRP","hos_SHRP","ag.p_SHRP","tot_ARI","att_CON","hyp.imp_CON","learn_CON","exec_CON","def_CON","peer_CON","tot_CON","adhd.att_CON","adhd.hyp_CON","cond_CON","odd_CON","cont_DCD","fine_DCD","coord_DCD","tot_DCD","tot_SCQ","soc_SCQ","com_SCQ","rep_SCQ","emo_SDQ","cond_SDQ","hyp.imp_SDQ","peer_SDQ","soc_SDQ","tot_SDQ","tot_SRS","awr_SRS","cog_SRS","com_SRS","mot_SRS","man_SRS","asd_SRS","ax.dep_CBCL","wt.dep_CBCL","som_CBCL","soc_CBCL","tht_CBCL","att_CBCL","rule_CBCL","ag_CBCL","int_CBCL","ext_CBCL","tot_CBCL"
"att_CON",0.520576069983084,0.218033145960345,0.382814207396164,0.581428705139237,0.458564968862875,0.416110591814812,0.418504787911831,0.436940215597179,0.330896451191328,0.400833253846488,1,0.625470999280991,0.53189190346711,0.625423161237144,0.441372445458522,0.529916203862149,0.742942685152208,0.836019550456745,0.593221545857318,0.410660300030716,0.462402324600373,0.434521038941992,0.521053259306066,0.559175829144053,0.619855552575016,0.24123769292103,0.219157807890659,0.226119175533557,0.182987619143441,0.414287155129336,0.379956937378502,0.737213844336655,0.435988314257075,0.199417075524866,0.721597944078047,0.561103092743755,0.420503461481803,0.544639990504436,0.5831885280407,0.269856753026371,0.515557428851075,0.555066204981766,0.466855718871204,0.356995836776052,0.432543829993188,0.705064194162293,0.323057826977606,0.816963509830949,0.45521513578182,0.457557088288729,0.559904827924383,0.480463755512282,0.724770906504467
"hyp.imp_CON",0.436867058349007,0.198866219253285,0.254767791072477,0.578573437116363,0.660628349486671,0.561295377188578,0.587460978700528,0.501279372740131,0.315575766273889,0.497311621217111,0.625470999280991,1,0.23739942371632,0.356317953170896,0.479498152261905,0.214730154782963,0.852510069570379,0.489779603772242,0.986471450674524,0.47825409914995,0.558651308357035,0.206905229058353,0.366745122309908,0.252939487692423,0.330038216947549,0.0640653094308367,0.044089821512936,0.091929992003421,0.0109315150946187,0.181841684013597,0.520953668923616,0.803992069286412,0.0913418423513264,0.0656400155914699,0.601645406206156,0.315017587956017,0.373809534383071,0.347570351734647,0.379141135768219,-0.1723776097236,0.354389122246672,0.291836005296767,0.272977781793004,-0.161883255788648,0.319984358544461,0.536271415438442,0.399866107787361,0.620014285655137,0.433145739876275,0.654868451238793,0.212886392960711,0.61576840820267,0.633547369800834
"learn_CON",0.144727263696088,0.283663437641473,-0.0104435968796884,0.150339399200108,0.10283580157326,0.105608594140574,0.0855722705106984,0.138613826867616,0.113323752139786,0.0176233115998601,0.53189190346711,0.23739942371632,1,0.355236756917694,0.055940618124064,0.33947328937466,0.249234329958462,0.508261892063495,0.214830635176271,-0.00822375490975421,0.0436355519620362,0.38187125382898,0.372910196388713,0.300674845330564,0.445859409389499,0.29507134613376,0.23336901664924,0.338209285093068,0.189714586432656,0.227712605282219,-0.079071200847762,0.347384588001156,0.308060380497254,0.161140117647377,0.292931527231793,0.466337798552095,0.295559719271036,0.562457065156505,0.394508905180013,0.316180871899126,0.428398824570872,0.461346564822504,0.121853985852996,0.386097426376837,0.275734754702276,0.458268561073545,0.249786683870385,0.4112228978869,0.0379669704530763,0.0641009668272676,0.325269017497617,0.0588151003570042,0.319338783015606
"exec_CON",0.304344199452621,0.0568100486857521,0.195460601189149,0.424780693555772,0.221413829274521,0.0450789369605759,0.378125962121375,0.333569137747817,0.027104281138743,0.33442888118278,0.625423161237144,0.356317953170896,0.355236756917694,1,0.261264197098353,0.388116654296439,0.455346889548063,0.873433016674169,0.316363959192205,0.263320077775903,0.366323432908377,0.283522804665723,0.314389155196238,0.382230530873083,0.402275162133674,0.165324440490588,0.158240123999928,0.192033039058916,0.104918292303108,0.30367020748014,0.262067720729635,0.385192838761767,0.417639455837089,0.158666551999077,0.495271807555344,0.459519708293621,0.366308357122458,0.443350617967868,0.456344905817811,0.209254969842207,0.455965094145158,0.44429121225915,0.31160009533996,0.284055224671236,0.29622915913271,0.515305197984284,0.442311391813668,0.578596017510646,0.383260085578031,0.268834911334016,0.394342695717972,0.320413752823497,0.543512858046505
"def_CON",0.674286689391339,0.383523520268158,0.607100384928219,0.489568943795574,0.815329525393911,0.732469389487972,0.789592393346382,0.743606204863956,0.693801419104213,0.735301310980275,0.441372445458522,0.479498152261905,0.055940618124064,0.261264197098353,1,0.290557435172956,0.712843914932979,0.400504138048228,0.460174969939075,0.878756499919987,0.892514968383285,0.0959685552707408,0.239520992158126,0.378249228897645,0.272632071087993,0.0629796911394676,0.0391230284087472,0.0872925892917757,-0.00307357953735727,0.286012473861842,0.824437772893407,0.386581233702021,0.231356896813788,0.34630846080468,0.629214014509541,0.200158275189716,0.175916531026977,0.3008490786899,0.239861705699574,-0.03373775293148,0.128130414289628,0.215005004269046,0.247552533926959,0.0248579356037063,0.24785498114806,0.407063032368419,0.262960079875305,0.270233253981297,0.811870604828385,0.84958804155229,0.24146642161725,0.881136349812065,0.684364559854224
"peer_CON",0.402211668475177,0.384389797992407,0.25963262624553,0.310899598350315,0.30041652224542,0.301082026097493,0.412696295564058,0.529916535570915,0.175539724572118,0.411979427033855,0.529916203862149,0.214730154782963,0.33947328937466,0.388116654296439,0.290557435172956,1,0.41108375350192,0.49459411744057,0.169686281661211,0.255834765274155,0.400670157910653,0.432713951067193,0.425374335802235,0.566364639239437,0.589418323177533,0.390693665759024,0.363032637892106,0.353015160794392,0.305909492237021,0.375203751088995,0.289352996323914,0.320149646429653,0.825924152542442,0.469731599819481,0.645089971144952,0.766302325484085,0.588200085878155,0.639018128515736,0.779447650059443,0.630131392296895,0.612010207291324,0.78612391509223,0.347587505515106,0.471112546255861,0.25650533038999,0.640690395243128,0.444710111735466,0.516874303173071,0.321979525370776,0.340151559742963,0.468640798994124,0.351771693561434,0.588383937385795
"tot_CON",0.60242799643537,0.348552013764984,0.452826291933868,0.582559427082959,0.740734196694374,0.655905417913776,0.653685853125426,0.672435868570243,0.45024324832102,0.711119894840579,0.742942685152208,0.852510069570379,0.249234329958462,0.455346889548063,0.712843914932979,0.41108375350192,1,0.638335721337517,0.829091570152983,0.612373099399446,0.788153681751343,0.357820380746792,0.405639066235199,0.500463862842321,0.517331754731457,0.190939680400904,0.171317677572547,0.188332291485127,0.103192936401654,0.361398641397426,0.678151249549762,0.737515601900377,0.312115247962563,0.292338019512021,0.769130135903811,0.472463476205291,0.417610047230868,0.466112578060892,0.536511583341262,0.0273775125546214,0.480036985565057,0.453384000495254,0.426117162090972,0.0415935856103979,0.358746948507454,0.680549087742194,0.464324241659088,0.707341401289412,0.615073977644079,0.817585341435026,0.387303859731234,0.793229664939297,0.828428943790265
"adhd.att_CON",0.485528297459422,0.2324193086785,0.355843937450316,0.509099492010415,0.378873841156921,0.27307040860429,0.495229301247325,0.455094879273939,0.245200489868471,0.403125347602067,0.836019550456745,0.489779603772242,0.508261892063495,0.873433016674169,0.400504138048228,0.49459411744057,0.638335721337517,1,0.459603767352113,0.403677370539809,0.460136189929354,0.354554401179859,0.414486360031933,0.475633369978879,0.509344253467363,0.313092227723494,0.30998451767314,0.304542871789287,0.18765584848939,0.333959116493139,0.36819792168676,0.596797762872786,0.441571860556001,0.244406906972093,0.636450015888243,0.584950440735828,0.411007903875583,0.587280091947602,0.603605455274646,0.288936180678813,0.535050134731196,0.579394190148896,0.358777306421383,0.427212434401379,0.30387119668713,0.64159934358307,0.368858380871,0.738001318902622,0.481901331437399,0.394814100781713,0.477150312977331,0.443912819198168,0.664516136278724
"adhd.hyp_CON",0.410647773974484,0.194861187941579,0.24930973088809,0.517464610691397,0.627647323025558,0.537356192018275,0.547006150484304,0.444158595405353,0.286962516097409,0.472236355854989,0.593221545857318,0.986471450674524,0.214830635176271,0.316363959192205,0.460174969939075,0.169686281661211,0.829091570152983,0.459603767352113,1,0.453993762032308,0.530387218551214,0.179999340120019,0.370149864925762,0.205759717373125,0.298989697518644,0.0492154007352637,0.0446824388151536,0.0778323487837537,-0.0234536575185133,0.126600260148734,0.493191618182609,0.767887982139312,0.0717390469938388,0.0365620601737676,0.551868339750053,0.273201465990568,0.33745234669233,0.320028948034987,0.349557514030251,-0.228080081907484,0.313023585500815,0.251366929566776,0.231273612330933,-0.199915647819113,0.305116659203514,0.492310217661309,0.352535029908066,0.575805795306076,0.404408188314442,0.634658326432629,0.170277930299259,0.59170533984804,0.593071690938052
"cond_CON",0.677350447529915,0.389172821191704,0.58694653243244,0.516848946767789,0.72098699810129,0.645888691952555,0.774296046190568,0.607125811158038,0.648859343185365,0.59966571432869,0.410660300030716,0.47825409914995,-0.00822375490975421,0.263320077775903,0.878756499919987,0.255834765274155,0.612373099399446,0.403677370539809,0.453993762032308,1,0.751501109421261,-0.0249777301369123,0.15106504025181,0.299639844355316,0.147498380963446,0.0218615511098977,0.0356206660778534,0.0307919435433987,-0.0364549959599907,0.14987525202686,0.777155727339291,0.400895940178481,0.144792196236855,0.2722900188968,0.542025662095922,0.141295239644763,0.15185191685885,0.203232548998406,0.193639463615309,-0.0597405991980448,0.0743985994248141,0.156667626221887,0.175159315757934,0.0579672826201375,0.125909922777395,0.294136292715895,0.122924623747214,0.255797977463058,0.830059741186461,0.779779476899773,0.166015962924836,0.836682983364553,0.5836203680569
"odd_CON",0.596060747490864,0.276025926322337,0.557852442334393,0.445260415676255,0.786478760050545,0.640812176336047,0.840918364401293,0.820050573007817,0.538052920769545,0.848602865898129,0.462402324600373,0.558651308357035,0.0436355519620362,0.366323432908377,0.892514968383285,0.400670157910653,0.788153681751343,0.460136189929354,0.530387218551214,0.751501109421261,1,0.205904314884263,0.310451152537134,0.423947175336943,0.373694274549645,0.101351862477865,0.0689577444226185,0.0938667284474099,0.0779165654564412,0.360968303775263,0.822759197579872,0.440584795628434,0.304261382798854,0.324751805834825,0.700559557638331,0.320457163181467,0.247169517763795,0.320220664985589,0.374593333151202,0.0663019921605943,0.286272620764017,0.319500102843439,0.320474523155688,0.0648992373977915,0.240547465078613,0.547700952421721,0.42923170899728,0.410144114990904,0.771238277240602,0.891115129678994,0.292152344495864,0.897766617369965,0.781495606246713
"cont_DCD",0.000462318001746529,0.151635771128837,-0.0124080643207537,-0.103572365041746,0.143778342320994,0.272625999274447,0.18753617737755,0.278421017127152,0.279632349687456,0.284353494200649,0.434521038941992,0.206905229058353,0.38187125382898,0.283522804665723,0.0959685552707408,0.432713951067193,0.357820380746792,0.354554401179859,0.179999340120019,-0.0249777301369123,0.205904314884263,1,0.281501074638768,0.639586202172321,0.873656079437792,0.36636922515754,0.354101794443836,0.28376909134839,0.283524008785944,0.194163121341032,0.146315649494087,0.279122180307184,0.53360263366077,0.158959756848984,0.415303019944633,0.503178551679298,0.47139880590364,0.444963675950968,0.469224929091524,0.346558434506151,0.489315391159405,0.491595578001979,0.158953040059131,0.252935696940828,0.0277547385450482,0.519203398140395,0.240635978444693,0.475730186201543,0.065247814671575,0.21792329244444,0.191908771565193,0.178941674403701,0.360569758520754
"fine_DCD",0.088984919845863,0.0913227864470569,0.0603344796079544,0.0778485078462021,0.183447778954466,0.270171327199443,0.198830096889449,0.20317579976143,0.175149446467367,0.305048970717821,0.521053259306066,0.366745122309908,0.372910196388713,0.314389155196238,0.239520992158126,0.425374335802235,0.405639066235199,0.414486360031933,0.370149864925762,0.15106504025181,0.310451152537134,0.281501074638768,1,0.417814164760074,0.637593115732146,0.356763249874312,0.326482401244537,0.30069087143526,0.285028671107831,0.220302742205937,0.194198928618059,0.417526196757339,0.410787055513038,0.305244881417139,0.45432324602287,0.505167773981088,0.386231239870697,0.429868319455371,0.467188846384258,0.455846484778377,0.473476744273776,0.498800873294756,0.162587491156477,0.29813156158679,0.28945495440327,0.403610145275822,0.37744479437362,0.545414595723973,0.225966628770211,0.225667101349557,0.318607496978885,0.23744349416778,0.431826871638604
"coord_DCD",0.276455920872034,0.277316913073374,0.189656162612807,0.222789868644422,0.264626672943869,0.40396583294529,0.334283791146593,0.459382222798083,0.373370138386151,0.359457245826391,0.559175829144053,0.252939487692423,0.300674845330564,0.382230530873083,0.378249228897645,0.566364639239437,0.500463862842321,0.475633369978879,0.205759717373125,0.299639844355316,0.423947175336943,0.639586202172321,0.417814164760074,1,0.852620620690015,0.438181998358409,0.464856715655622,0.331305556367626,0.298203724968193,0.264169682600794,0.288601435182018,0.463325156547033,0.516479947020008,0.434877190099608,0.558257719320012,0.602772321621312,0.550890259914618,0.549635488885598,0.59646713333422,0.383361812245284,0.550546872966221,0.599441852315913,0.22640764592553,0.383042172987053,0.235179593283617,0.596480065525567,0.420547899992652,0.599158649453475,0.362162628371139,0.444677429070316,0.362416608692108,0.440525793211633,0.60998939803021
"tot_DCD",0.128527527913667,0.207579002591589,0.0813793819147613,0.0519306657223259,0.231772494967345,0.379330036978337,0.285205252765898,0.380197782849631,0.34114889941861,0.38248104167204,0.619855552575016,0.330038216947549,0.445859409389499,0.402275162133674,0.272632071087993,0.589418323177533,0.517331754731457,0.509344253467363,0.298989697518644,0.147498380963446,0.373694274549645,0.873656079437792,0.637593115732146,0.852620620690015,1,0.478317778260431,0.471272469551767,0.375609022928667,0.35823828636544,0.282131265596271,0.25533074827259,0.471041067613678,0.631196435352349,0.354544682597533,0.595158506784116,0.662313182193235,0.586615072602891,0.586143086024037,0.628839270660364,0.480354500094726,0.625213828689901,0.652648238357582,0.225259236217984,0.38005880975495,0.198941521521927,0.640416517570514,0.413731441973935,0.665174332644861,0.244812438862455,0.359024189193668,0.345788345233614,0.340005976873995,0.567549104490633
"tot_SCQ",0.10334802103046,0.246503967522925,0.0506303709788998,0.00486253143556322,0.230880183086533,0.365445223655198,0.276686692039929,0.387008926935277,0.302459072925948,0.203102026616902,0.24123769292103,0.0640653094308367,0.29507134613376,0.165324440490588,0.0629796911394676,0.390693665759024,0.190939680400904,0.313092227723494,0.0492154007352637,0.0218615511098977,0.101351862477865,0.36636922515754,0.356763249874312,0.438181998358409,0.478317778260431,1,0.902495204656673,0.902556910423403,0.666448536477238,0.139184758914773,0.0515288827316078,0.209958694951211,0.387942285502705,0.626454917026616,0.284245177903158,0.725634806609325,0.701318915469944,0.712850420444711,0.699648586454105,0.480093011330566,0.611230187177257,0.736882594932233,-0.000797117107267172,0.399646461746305,0.117869545830824,0.247170399828076,0.509251936889348,0.385923934810267,0.052885373295441,0.0508161048955998,0.201146927948246,0.0541269051662606,0.270234115647224
"soc_SCQ",0.125838457056636,0.276975714347491,0.059053757786028,0.0148095139348873,0.201487332394337,0.30914763030044,0.260666159493423,0.339596826872173,0.269342503376852,0.152422077986103,0.219157807890659,0.044089821512936,0.23336901664924,0.158240123999928,0.0391230284087472,0.363032637892106,0.171317677572547,0.30998451767314,0.0446824388151536,0.0356206660778534,0.0689577444226185,0.354101794443836,0.326482401244537,0.464856715655622,0.471272469551767,0.902495204656673,1,0.770386596763374,0.376333593186759,0.0335152082969123,0.00748125529299391,0.161549676355988,0.311159062120022,0.560092850444904,0.186961077945978,0.642103086678044,0.662263865351444,0.630057772731474,0.651262313477087,0.413325652419861,0.47742202295729,0.670839852036572,-0.041615090470668,0.332699433286417,0.0556575989640951,0.22860130037946,0.377272611447174,0.324475462008097,0.0379305649505095,0.00742145487529693,0.128481159789682,0.0178486822891915,0.206880661754559
"com_SCQ",0.0682599808433261,0.225655788129993,-0.0297615097771368,0.0457251063137683,0.172806693069997,0.244707677603289,0.21900059129864,0.269624525772265,0.239983099043454,0.140951009536186,0.226119175533557,0.091929992003421,0.338209285093068,0.192033039058916,0.0872925892917757,0.353015160794392,0.188332291485127,0.304542871789287,0.0778323487837537,0.0307919435433987,0.0938667284474099,0.28376909134839,0.30069087143526,0.331305556367626,0.375609022928667,0.902556910423403,0.770386596763374,1,0.46975909592591,0.19308165249961,0.051760033705586,0.219246419225845,0.414922911278104,0.583309255559834,0.315386177640313,0.617851914347599,0.568545737561031,0.687088077562829,0.593713260048208,0.33144115317228,0.530828180482255,0.624353641399559,-0.00444501209234525,0.349396511256083,0.177621672667699,0.27954011997988,0.544869952979394,0.308797423873752,0.0461597614664592,0.0874705721078622,0.204507890693669,0.0783980327473253,0.278422310048133
